"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"25","164.321329755885","127.56800131872141","0.0084228515625","0.01220703125","0.004638671875","1560","0.00018405167627753966","24","0.00018405167627753966","0","0.00018405167627753966","0.00018405167627753966","24:0.02092443146594436;26:0.0023584309379112156;37:0.002221434108047704","24:68;26:68;37:68","24:0.014231081004512036;26:0.0018331049959855739;37:0.001656725261234393","0.0084228515625","Yes"
"26","175.80485171506223","101.47586819221517","0.0123291015625","0.01318359375","0.011474609375","1560","0.0002996836384878222","24","0.0002996836384878222","0","0.0002996836384878222","0.0002996836384878222","25:0.0023584309379112156;27:0.03182152001642885","25:68;27:68","25:0.0018331049959855739;27:0.03638113206517221","0.0123291015625","Yes"
"27","115.04650233299179","134.79171081527838","0.0108642578125","0.0126953125","0.003173828125","1560","0.004601609797601331","24","0.004601609797601331","0","0.004601609797601331","0.004601609797601331","26:0.03182152001642885;17:0.025282005907070443","26:68;28:68;17:68","26:0.03638113206517221;28:0.08057169458868915;17:0.03795261382221274","0.0108642578125","Yes"
"28","114.76136655153368","113.33907918179459","0.009033203125","0.015380859375","0.002685546875","1560","0.0002664734785196097","24","0.0002664734785196097","0","0.0002664734785196097","0.0002664734785196097","29:0.0037724651344571147","27:68;29:68","27:0.08057169458868915;29:0.0026646880285031704","0.009033203125","Yes"
"29","132.61757138170395","50.50439645298701","0.010009765625","0.01318359375","0.0068359375","1560","0.00017771153865925917","24","0.00017771153865925917","0","0.00017771153865925917","0.00017771153865925917","38:0.00347854765647862;28:0.0037724651344571147;30:0.002017211325647472","38:68;28:68;30:68","38:0.002860080860256742;28:0.0026646880285031704;30:0.0022585600235504877","0.010009765625","Yes"
"30","111.6639253257826","107.83759361507116","0.007568359375","0.010009765625","0.005126953125","1560","0.00022586328726078916","24","0.00022586328726078916","0","0.00022586328726078916","0.00022586328726078916","31:0.002379968676685912;29:0.002017211325647472","31:68;29:68","31:0.002746320832487964;29:0.0022585600235504877","0.007568359375","Yes"
"31","112.91352751651479","62.15992229990543","0.0194091796875","0.02734375","0.011474609375","1560","0.000678469164648445","24","0.000678469164648445","0","0.000678469164648445","0.000678469164648445","30:0.002379968676685912;32:0.0497498637418978;18:0.005193720670577745","30:68;32:68;18:68","30:0.002746320832487964;32:0.00671744770579083;18:0.0022734029534694777","0.0194091796875","Yes"
"32","119.29943402509012","171.5347462715372","0.03515625","0.03857421875","0.03173828125","1560","0.0002889427557894673","24","0.0002889427557894673","0","0.0002889427557894673","0.0002889427557894673","31:0.0497498637418978","31:68;33:68","31:0.00671744770579083","0.03515625","Yes"
"33","183.0798727624148","176.28959525747237","0.0184326171875","0.02880859375","0.008056640625","1560","0.00017706695110584648","24","0.00017706695110584648","0","0.00017706695110584648","0.00017706695110584648","39:0.0017489082784664656;34:0.004962600318184962","39:68;32:68;34:68","39:0.0020442805874569536;34:0.005161447716572537","0.0184326171875","Yes"
"34","86.77062492191816","60.51595466152331","0.0103759765625","0.0126953125","0.008056640625","1560","0.0011431718449473837","24","0.0011431718449473837","0","0.0011431718449473837","0.0011431718449473837","33:0.004962600318184962;35:0.003969208512805578","33:68;35:68","33:0.005161447716572537;35:0.00491741674530527","0.0103759765625","Yes"
"35","147.61480832556597","50.31176060491772","0.011962890625","0.016357421875","0.007568359375","1560","0.00022440272493025348","24","0.00022440272493025348","0","0.00022440272493025348","0.00022440272493025348","19:0.002737377854837131;34:0.003969208512805578","19:68;34:68","19:0.003127175830204998;34:0.00491741674530527","0.011962890625","Yes"
"36","203.40057455073034","158.53538932536617","0.006103515625","0.00537109375","0.0068359375","1560","0.00032125768448244607","24","0.00032125768448244607","0","0.00032125768448244607","0.00032125768448244607","41:0.0017376645079355824;21:0.005955531685107235","41:68;21:68","41:0.0022064041304526993;21:0.004837360778504468","0.006103515625","Yes"
